# LXX-only Greek lexemes (no Strong's number) grouped by wordid (validated per-lemma
# key, see lxx/parse.py) into a citation form + all attested inflected variants, with
# per-variant occurrence count + a sample verse ref. citation_confidence=standard means
# the chosen form is on a fixed priority list of lexicon-headword-shaped forms (nom.
# singular for nouns/adjectives; for verbs, present/aorist indicative or infinitive,
# preferring active + 1st singular, even if not literally the ideal PAI1S); fallback
# means nothing on that list was attested and the most frequent form was used regardless
# of shape — worth a lexicographer's eye before treating as a final headword.
# CATSS-derived (non-commercial) — see shoresh/legal/CATSS-user-declaration.md.
# See shoresh/lxx/build_orphan_lexemes.py.
wordid	citation_form	citation_morph	pos	citation_confidence	variant_surface	variant_plain	variant_morph	count	sample_ref
706394	Ιακαβα	N.NSM	N	standard	Ιακαβα	Ιακαβα	N.NSM	1	1CH 4:36
706395	ιακανα	N.AS	N	fallback	ιακανα	ιακανα	N.AS	1	JOS 19:34
706396	Ιακαρεηλ	N.NS	N	standard	Ιακαρεηλ	Ιακαρεηλ	N.NS	1	JOS 15:38
706398	Ιακεφζηφ	N.DS	N	fallback	Ιακεφζηφ	Ιακεφζηφ	N.DS	1	JDG 7:25
706399	Ιακιμ	N.NSM	N	standard	Ιακιμ	Ιακιμ	N.G	1	DEU 10:6
706399	Ιακιμ	N.NSM	N	standard	Ιακιμ	Ιακιμ	N.GS	1	1SA 9:4
706399	Ιακιμ	N.NSM	N	standard	Ιακιμ	Ιακιμ	N.NSM	1	1CH 8:19
706399	Ιακιμ	N.NSM	N	standard	Ιακιμ	Ιακιμ	N.DSM	1	1CH 24:12
706400	Ιακουβος	N.NSM	N	standard	Ιακουβος	Ιακουβος	N.NSM	1	1ES 9:48
706402	Ιαλ	N.GSF	N	fallback	Ιαλ	Ιαλ	N.GSF	1	2SA 3:7
706403	Ιαλλεληλ	N.GSM	N	fallback	Ιαλλεληλ	Ιαλλεληλ	N.GSM	1	2CH 29:12
706404	Ιαλων	N.NSM	N	standard	Ιαλων	Ιαλων	N.NSM	1	1CH 4:17
706406	Ιαμβρι	N.GSM	N	fallback	Ιαμβρι	Ιαμβρι	N.GSM	2	1MA 9:36
706408	ιαμιβιν	N.GS	N	fallback	ιαμιβιν	ιαμιβιν	N.GS	1	2KI 12:10
706409	Ιαμιν	N.NSM	N	standard	Ιαμιν	Ιαμιν	N.NSM	4	GEN 46:10
706409	Ιαμιν	N.NSM	N	standard	Ιαμιν	Ιαμιν	N.DSM	2	NUM 26:12
706409	Ιαμιν	N.NSM	N	standard	Ιαμιν	Ιαμιν	N.ASM	1	GEN 36:24
706409	Ιαμιν	N.NSM	N	standard	Ιαμιν	Ιαμιν	N.AS	1	JOS 17:7
706409	Ιαμιν	N.NSM	N	standard	Ιαμιν	Ιαμιν	N.GSM	1	1SA 14:51
706410	ιαμιν	N.APN	N	fallback	ιαμιν	ιαμιν	N.APN	1	2KI 25:14
706411	Ιαμινι	N.NSM	N	standard	Ιαμινι	Ιαμινι	N.NSM	2	NUM 26:12
706412	Ιάμνειαν	N.ASF	N	fallback	Ιάμνειαν	Ιαμνειαν	N.ASF	3	1MA 5:58
706412	Ιάμνειαν	N.ASF	N	fallback	Ιαμνείας	Ιαμνειας	N.GS	1	1MA 4:15
706412	Ιάμνειαν	N.ASF	N	fallback	Ιαμνείᾳ	Ιαμνεια	N.DSF	1	2MA 12:8
706412	Ιάμνειαν	N.ASF	N	fallback	Ιαμνείας	Ιαμνειας	N.GSM	1	2MA 12:40
706413	Ιαμνίταις	N.DPM	N	fallback	Ιαμνίταις	Ιαμνιταις	N.DPM	1	2MA 12:9
706414	Ιαμουν	N.DSM	N	fallback	Ιαμουν	Ιαμουν	N.DSM	1	NUM 26:17
706415	Ιαμουνι	N.NSM	N	standard	Ιαμουνι	Ιαμουνι	N.NSM	1	NUM 26:17
706416	Ιανα	N.NS	N	standard	Ιανα	Ιανα	N.NS	1	JOS 15:43
706417	Ιαναθα	N.GS	N	fallback	Ιαναθα	Ιαναθα	N.GS	1	2SA 5:16
706418	Ιανι	N.NSM	N	standard	Ιανι	Ιανι	N.NSM	1	1CH 5:12
706419	Ιανουε	N.NSM	N	standard	Ιανουε	Ιανουε	N.NSM	1	1CH 3:7
706421	Ιανουου	N.NSM	N	standard	Ιανουου	Ιανουου	N.NSM	1	1CH 14:6
706422	Ιανωκα	N.AS	N	fallback	Ιανωκα	Ιανωκα	N.AS	1	JOS 16:6
706423	Ιανωχ	N.ASF	N	fallback	Ιανωχ	Ιανωχ	N.ASF	1	2KI 15:29
706425	Ιαους	N.NSM	N	standard	Ιαους	Ιαους	N.NSM	1	1CH 7:10
706425	Ιαους	N.NSM	N	standard	Ιαους	Ιαους	N.ASM	1	2CH 11:19
706426	Ιαρασια	N.NSM	N	standard	Ιαρασια	Ιαρασια	N.NSM	1	1CH 8:27
706427	Ιαραχ	N.ASM	N	fallback	Ιαραχ	Ιαραχ	N.ASM	1	GEN 10:26
706428	Ιαρβααλ	N.NSM	N	standard	Ιαρβααλ	Ιαρβααλ	N.NSM	1	JDG 6:32
706429	Ιαρβαλ	N.NSM	N	standard	Ιαρβαλ	Ιαρβαλ	N.NSM	1	JDG 7:1
706431	Ιαριβ	N.NSM	N	standard	Ιαριβ	Ιαριβ	N.DSM	2	1CH 24:7
706431	Ιαριβ	N.NSM	N	standard	Ιαριβ	Ιαριβ	N.NSM	1	1CH 4:24
706431	Ιαριβ	N.NSM	N	standard	Ιαριβ	Ιαριβ	N.GSM	1	EZR 10:18
706432	Ιαριβι	N.NSM	N	standard	Ιαριβι	Ιαριβι	N.NSM	1	1CH 11:46
706433	Ιαριηλ	N.NS	N	standard	Ιαριηλ	Ιαριηλ	N.NS	1	JOS 15:56
706433	Ιαριηλ	N.NS	N	standard	Ιαριηλ	Ιαριηλ	N.GS	1	JOS 17:9
706434	Ιαρικαμ	N.NS	N	standard	Ιαρικαμ	Ιαρικαμ	N.NS	1	JOS 15:56
706435	Ιαριμ	N.GS	N	fallback	Ιαριμ	Ιαριμ	N.GS	3	JOS 15:9
706435	Ιαριμ	N.GS	N	fallback	Ιαριμ	Ιαριμ	N.GSM	2	1CH 4:8
706435	Ιαριμ	N.GS	N	fallback	Ιαριμ	Ιαριμ	N.ASM	1	HOS 5:13
706435	Ιαριμ	N.GS	N	fallback	Ιαριμ	Ιαριμ	N.DSM	1	HOS 10:6
706436	Ιαριμουθ	N.NSM	N	standard	Ιαριμουθ	Ιαριμουθ	N.NSM	1	1CH 12:6
706437	Ιαριμωθ	N.NSM	N	standard	Ιαριμωθ	Ιαριμωθ	N.NSM	5	1CH 8:14
706438	Ιαριν	N.NSM	N	standard	Ιαριν	Ιαριν	N.GS	1	JOS 9:17
706438	Ιαριν	N.NSM	N	standard	Ιαριν	Ιαριν	N.NSM	1	2SA 20:26
706440	Ιαρμωθ	N.NSM	N	standard	Ιαρμωθ	Ιαρμωθ	N.NSM	1	EZR 10:27
706441	Ιασα	N.AS	N	fallback	Ιασα	Ιασα	N.AS	1	JDG 11:20
706441	Ιασα	N.AS	N	fallback	Ιασα	Ιασα	N.ASF	1	1CH 6:63
706442	Ιασαν	N.GSM	N	fallback	Ιασαν	Ιασαν	N.GSM	1	2SA 23:32
706443	Ιασιηλ	N.NSM	N	standard	Ιασιηλ	Ιασιηλ	N.NSM	1	1CH 7:13
706445	Ιασιφ	N.AS	N	fallback	Ιασιφ	Ιασιφ	N.AS	1	JOS 19:29
706446	Ιασολ	N.NS	N	standard	Ιασολ	Ιασολ	N.NS	1	ZEC 14:5
706447	Ιασουβ	N.NSM	N	standard	Ιασουβ	Ιασουβ	N.NSM	4	GEN 46:13
706447	Ιασουβ	N.NSM	N	standard	Ιασουβ	Ιασουβ	N.DSM	1	NUM 26:20
706448	Ιασουβι	N.NSM	N	standard	Ιασουβι	Ιασουβι	N.NSM	1	NUM 26:20
706449	Ιασουβος	N.NSM	N	standard	Ιασουβος	Ιασουβος	N.NSM	1	1ES 9:30
706450	Ιασουια	N.NSM	N	standard	Ιασουια	Ιασουια	N.NSM	1	1CH 4:36
706452	Ιασσα	N.AS	N	fallback	Ιασσα	Ιασσα	N.AS	3	NUM 21:23
706452	Ιασσα	N.AS	N	fallback	Ιασσα	Ιασσα	N	1	DEU 2:32
706452	Ιασσα	N.AS	N	fallback	Ιασσα	Ιασσα	N.GS	1	ISA 15:4
706453	Ιασσιβ	N.AS	N	fallback	Ιασσιβ	Ιασσιβ	N.AS	1	JOS 17:7
706455	ἰαταὶ	N.NPM	N	fallback	ἰαταὶ	ιαται	N.NPM	1	JOB 13:4
706456	ἰατρεία	N.NSF	N	standard	ἰατρεία	ιατρεια	N.NSF	2	2CH 21:18
706457	ἰατρεῖα	N.APN	N	fallback	ἰατρεῖα	ιατρεια	N.APN	1	EXO 21:19
706458	ἰατρευθῆναι	V.APN	V	standard	ἰατρευθῆναι	ιατρευθηναι	V.APN	3	2KI 8:29
706458	ἰατρευθῆναι	V.APN	V	standard	ἰατρευόμενον	ιατρευομενον	V.PMPASM	1	2CH 22:9
706458	ἰατρευθῆναι	V.APN	V	standard	ἰατρεύσαμεν	ιατρευσαμεν	V.AAI1P	1	JER 28:9
706458	ἰατρευθῆναι	V.APN	V	standard	ἰατρεύθης	ιατρευθης	V.API2S	1	JER 37:13
706458	ἰατρευθῆναι	V.APN	V	standard	ἰατρεύσω	ιατρευσω	V.AAS1S	1	JER 37:17
706458	ἰατρευθῆναι	V.APN	V	standard	ἰατρεύσω	ιατρευσω	V.FAI1S	1	JER 40:6
706461	Ιαφαλητ	N.GSM	N	fallback	Ιαφαλητ	Ιαφαλητ	N.GSM	2	1CH 7:33
706461	Ιαφαλητ	N.GSM	N	fallback	Ιαφαλητ	Ιαφαλητ	N.ASM	1	1CH 7:32
706462	Ιαφεθ	N.NSM	N	standard	Ιαφεθ	Ιαφεθ	N.NSM	4	GEN 7:13
706462	Ιαφεθ	N.NSM	N	standard	Ιαφεθ	Ιαφεθ	N.GSM	4	GEN 10:1
706462	Ιαφεθ	N.NSM	N	standard	Ιαφεθ	Ιαφεθ	N.ASM	2	GEN 5:32
706462	Ιαφεθ	N.NSM	N	standard	Ιαφεθ	Ιαφεθ	N.DSM	1	GEN 9:27
706462	Ιαφεθ	N.NSM	N	standard	Ιαφεθ	Ιαφεθ	N.GS	1	JDT 2:25
706463	Ιαχαν	N.NSM	N	standard	Ιαχαν	Ιαχαν	N.NSM	1	1CH 5:13
706464	Ιαχιν	N.NSM	N	standard	Ιαχιν	Ιαχιν	N.NSM	4	GEN 46:10
706464	Ιαχιν	N.NSM	N	standard	Ιαχιν	Ιαχιν	N.DSM	2	NUM 26:12
706465	Ιαχινι	N.NSM	N	standard	Ιαχινι	Ιαχινι	N.NSM	1	NUM 26:12
706466	Ιαχιραν	N.DSM	N	fallback	Ιαχιραν	Ιαχιραν	N.DSM	1	NUM 26:42
706467	Ιαχιρανι	N.NSM	N	standard	Ιαχιρανι	Ιαχιρανι	N.NSM	1	NUM 26:42
706468	Ιαχουμ	N.ASM	N	fallback	Ιαχουμ	Ιαχουμ	N.ASM	1	1KI 7:7
706469	Ιαως	N.ASM	N	fallback	Ιαως	Ιαως	N.ASM	1	1CH 8:10
706471	Ιβααρ	N.NSM	N	standard	Ιβααρ	Ιβααρ	N.NSM	2	1CH 3:6
706472	Ιβαναα	N.NSM	N	standard	Ιβαναα	Ιβαναα	N.NSM	1	1CH 9:8
706473	ἶβιν	N.ASF	N	fallback	ἶβιν	ιβιν	N.ASF	1	DEU 14:16
706474	ἶβιν	N.ASF	N	fallback	ἶβιν	ιβιν	N.ASF	1	LEV 11:17
706474	ἶβιν	N.ASF	N	fallback	ἴβεις	ιβεις	N.NPF	1	ISA 34:11
706476	Ιγααλ	N.NSM	N	standard	Ιγααλ	Ιγααλ	N.NSM	2	NUM 13:7
706477	Ιγαβης	N.NSM	N	standard	Ιγαβης	Ιγαβης	N.NSM	2	1CH 4:9
706477	Ιγαβης	N.NSM	N	standard	Ιγαβης	Ιγαβης	N.ASM	1	1CH 4:9
706478	ιγλααμ	V.AAI3S	V	standard	ιγλααμ	ιγλααμ	V.AAI3S	1	1CH 8:7
706479	ἰγνύαις	N.DPF	N	fallback	ἰγνύαις	ιγνυαις	N.DPF	1	1KI 18:21
706481	Ιδαερ	N.NSM	N	standard	Ιδαερ	Ιδαερ	N.NSM	1	1CH 6:12
706482	Ιδαι	N.GSM	N	fallback	Ιδαι	Ιδαι	N.GSM	1	1CH 5:14
706484	Ιδεαδαλεα	N.NS	N	standard	Ιδεαδαλεα	Ιδεαδαλεα	N.NS	1	JOS 15:39
706485	Ιδεδι	N.ASM	N	fallback	Ιδεδι	Ιδεδι	N.ASM	1	2SA 12:25
706486	Ιδεϊα	N.DSM	N	fallback	Ιδεϊα	Ιδεια	N.DSM	1	1CH 24:7
706487	Ιδια	N.DSM	N	fallback	Ιδια	Ιδια	N.DSM	1	NEH 12:19
706488	Ιδιηλ	N.NSM	N	standard	Ιδιηλ	Ιδιηλ	N.NSM	1	1CH 26:2
706489	Ιδιθουν	N.AS	N	fallback	Ιδιθουν	Ιδιθουν	N.AS	2	PSA 61:1
706489	Ιδιθουν	N.AS	N	fallback	Ιδιθουν	Ιδιθουν	N.DSM	1	2CH 5:12
706489	Ιδιθουν	N.AS	N	fallback	Ιδιθουν	Ιδιθουν	N.DS	1	PSA 38:1
706490	Ιδιθων	N.NSM	N	standard	Ιδιθων	Ιδιθων	N.GSM	5	1CH 9:16
706490	Ιδιθων	N.NSM	N	standard	Ιδιθων	Ιδιθων	N.NSM	4	1CH 16:38
706490	Ιδιθων	N.NSM	N	standard	Ιδιθων	Ιδιθων	N.DSM	1	1CH 25:3
706490	Ιδιθων	N.NSM	N	standard	Ιδιθων	Ιδιθων	N.ASM	1	1CH 25:3
706491	ἰδιόγραφος	A.NSM	A	standard	ἰδιόγραφος	ιδιογραφος	A.NSM	1	PSA 151:1
706492	ἰδιοποιεῖτο	V.IMI3S	V	fallback	ἰδιοποιεῖτο	ιδιοποιειτο	V.IMI3S	1	2SA 15:6
706494	ἰδιότητα	N.ASF	N	fallback	ἰδιότητα	ιδιοτητα	N.ASF	1	3MA 7:17
706496	ἰδιωτικῶν	A.GPN	A	fallback	ἰδιωτικῶν	ιδιωτικων	A.GPN	1	4MA 4:3
706496	ἰδιωτικῶν	A.GPN	A	fallback	ἰδιωτικὰ	ιδιωτικα	A.APN	1	4MA 4:6
706498	Ιδουα	N.GSM	N	fallback	Ιδουα	Ιδουα	N.GSM	1	NEH 12:22
706499	Ιδουδ	N.NSM	N	standard	Ιδουδ	Ιδουδ	N.NSM	1	1CH 23:19
706500	Ιδουηλον	N.ASM	N	fallback	Ιδουηλον	Ιδουηλον	N.ASM	1	1ES 8:43
706501	Ιδουιας	N.GSF	N	fallback	Ιδουιας	Ιδουιας	N.GSF	1	1CH 4:19
706502	Ιδουμα	N.NSM	N	standard	Ιδουμα	Ιδουμα	N.NSM	2	GEN 25:14
706504	Ιδουμαῖος	N.NSM	N	standard	Ιδουμαῖοι	Ιδουμαιοι	N.NPM	7	2SA 8:14
706504	Ιδουμαῖος	N.NSM	N	standard	Ιδουμαῖον	Ιδουμαιον	N.ASM	3	DEU 23:8
706504	Ιδουμαῖος	N.NSM	N	standard	Ιδουμαίων	Ιδουμαιων	N.GPM	3	1ES 8:66
706504	Ιδουμαῖος	N.NSM	N	standard	Ιδουμαῖος	Ιδουμαιος	N.NSM	1	1KI 11:14
706505	Ιδουραμ	N.ASM	N	fallback	Ιδουραμ	Ιδουραμ	N.ASM	1	1CH 18:10
706506	ἱδρῶν	V.PAPNSM	V	fallback	ἱδρῶν	ιδρων	V.PAPNSM	2	4MA 3:8
706507	ἱδρυμένη	V.XMPNSF	V	fallback	ἱδρυμένη	ιδρυμενη	V.XMPNSF	1	4MA 17:3
706510	Ιεαλη	N.GSM	N	fallback	Ιεαλη	Ιεαλη	N.GSM	1	NEH 7:58
706511	Ιεασι	N.NSM	N	standard	Ιεασι	Ιεασι	N.NSM	1	1CH 11:45
706512	Ιεβααρ	N.GS	N	fallback	Ιεβααρ	Ιεβααρ	N.GS	1	2SA 5:16
706513	Ιεβαθα	N.ASF	N	fallback	Ιεβαθα	Ιεβαθα	N.ASF	1	JOS 21:25
706514	Ιεβασαμ	N.NSM	N	standard	Ιεβασαμ	Ιεβασαμ	N.NSM	1	1CH 7:2
706515	Ιεβλααμ	N.NSF	N	standard	Ιεβλααμ	Ιεβλααμ	N.ASF	2	JDG 1:27
706515	Ιεβλααμ	N.NSF	N	standard	Ιεβλααμ	Ιεβλααμ	N.NSF	1	2KI 9:27
706516	Ιεβοσθε	N.NSM	N	standard	Ιεβοσθε	Ιεβοσθε	N.NSM	2	2SA 2:10
706516	Ιεβοσθε	N.NSM	N	standard	Ιεβοσθε	Ιεβοσθε	N.GSM	2	2SA 2:12
706516	Ιεβοσθε	N.NSM	N	standard	Ιεβοσθε	Ιεβοσθε	N.ASM	1	2SA 2:8
706517	Ιεβους	N.NS	N	standard	Ιεβους	Ιεβους	N.GSF	2	JDG 19:10
706517	Ιεβους	N.NS	N	standard	Ιεβους	Ιεβους	N.GS	1	JOS 15:8
706517	Ιεβους	N.NS	N	standard	Ιεβους	Ιεβους	N.NS	1	JOS 18:28
706517	Ιεβους	N.NS	N	standard	Ιεβους	Ιεβους	N.NSF	1	1CH 11:4
706517	Ιεβους	N.NS	N	standard	Ιεβους	Ιεβους	N.DSF	1	1CH 11:5
706518	Ιεβουσαι	N.GS	N	fallback	Ιεβουσαι	Ιεβουσαι	N.GS	1	JOS 18:16
706519	Ιεβουσαῖος	N.NSM	N	standard	Ιεβουσαῖον	Ιεβουσαιον	N.ASM	12	GEN 10:16
706519	Ιεβουσαῖος	N.NSM	N	standard	Ιεβουσαίου	Ιεβουσαιου	N.GSM	9	JDG 3:5
706519	Ιεβουσαῖος	N.NSM	N	standard	Ιεβουσαίων	Ιεβουσαιων	N.GPM	6	EXO 3:8
706519	Ιεβουσαῖος	N.NSM	N	standard	Ιεβουσαῖος	Ιεβουσαιος	N.NSM	5	NUM 13:29
