# Hebrew Strong's pairs sharing a Wiktionary root category (CC BY-SA, kaikki.org wiktextract extract
# of English Wiktionary's Hebrew entries). Validated 2026-08 at 35.0% SDBH-domain agreement on its
# own — weaker than BDB (50.6%); real value is as a second vote alongside xling (agreement jumps
# to 87.7% on the intersection) — see domain-replacement-roadmap.md. See build_wiktionary_roots.py.
strong_a	strong_b	root
H6192	H6195	ע־ר־ם
H6192	H6196	ע־ר־ם
H6193	H6194	ע־ר־ם
H6193	H6195	ע־ר־ם
H6193	H6196	ע־ר־ם
H6194	H6195	ע־ר־ם
H6194	H6196	ע־ר־ם
H6195	H6196	ע־ר־ם
H6218	H6237	ע־שׂ־ר
H6218	H6238	ע־שׂ־ר
H6218	H6239	ע־שׂ־ר
H6218	H6241	ע־שׂ־ר
H6223	H6237	ע־שׁ־ר
H6223	H6238	ע־שׁ־ר
H6223	H6239	ע־שׁ־ר
H6237	H6238	ע־שׁ־ר
H6237	H6238	ע־שׂ־ר
H6237	H6239	ע־שׁ־ר
H6237	H6239	ע־שׂ־ר
H6237	H6241	ע־שׂ־ר
H6238	H6239	ע־שׁ־ר
H6238	H6239	ע־שׂ־ר
H6238	H6241	ע־שׂ־ר
H6239	H6241	ע־שׂ־ר
H6256	H6278	ע־ת־ת
H6266	H6267	ע־ת־ק
H6266	H6268	ע־ת־ק
H6266	H6275	ע־ת־ק
H6266	H6276	ע־ת־ק
H6266	H6277	ע־ת־ק
H6267	H6268	ע־ת־ק
H6267	H6275	ע־ת־ק
H6267	H6276	ע־ת־ק
H6267	H6277	ע־ת־ק
H6268	H6275	ע־ת־ק
H6268	H6276	ע־ת־ק
H6268	H6277	ע־ת־ק
H6275	H6276	ע־ת־ק
H6275	H6277	ע־ת־ק
H6276	H6277	ע־ת־ק
H6278	H7096	ק־צ־ה
H6278	H7097	ק־צ־ה
H6278	H7098	ק־צ־ה
H6278	H7101	ק־צ־ה
H6286	H6287	פ־א־ר
H6286	H8597	פ־א־ר
H6287	H8597	פ־א־ר
H6293	H6294	פ־ג־ע
H6299	H6306	פ־ד־ה
H6341	H6368	פ־ו־ח
H6346	H6347	פ־ח־ה
H6358	H6362	פ־ט־ר
H6358	H6363	פ־ט־ר
H6362	H6363	פ־ט־ר
H6381	H6382	פ־ל־א
H6398	H6399	פ־ל־ח
H6398	H6400	פ־ל־ח
H6399	H6400	פ־ל־ח
H6403	H6404	פ־ל־ט
H6446	H6447	פ־ס־ס
H6458	H6459	פ־ס־ל
H6470	H6471	פ־ע־ם
H6481	H6482	פ־צ־ע
H6485	H6496	פ־ק־ד
H6491	H6492	פ־ק־ח
H6491	H6493	פ־ק־ח
H6492	H6493	פ־ק־ח
H6499	H6517	פ־ר־ר
H6500	H6501	פ־ר־א
H6504	H6505	פ־ר־ד
H6524	H6525	פ־ר־ח
H6527	H6528	פ־ר־ט
H6544	H6545	פ־ר־ע
H6544	H6546	פ־ר־ע
H6545	H6546	פ־ר־ע
H6555	H6556	פ־ר־ץ
H6555	H6557	פ־ר־ץ
H6556	H6557	פ־ר־ץ
H6561	H6562	פ־ר־ק
H6561	H6563	פ־ר־ק
H6562	H6563	פ־ר־ק
H6590	H6591	פ־שׁ־ר
H6590	H6592	פ־שׁ־ר
H6591	H6592	פ־שׁ־ר
H6595	H6596	פ־ו־ת
H6595	H6596	פ־ת־ת
H6599	H6600	פ־ת־ג־ם
H6617	H8602	ת־פ־ל
H6617	H8603	ת־פ־ל
H6622	H6623	פ־ת־ר
H6633	H6635	צ־ב־א
H6633	H6643	צ־ב־א
H6635	H6643	צ־ב־א
H6635	H6643	צ־ב־ה
H6651	H6652	צ־ב־ר
H6654	H6655	צ־ד־ד
H6654	H6655	צ־י־ד
H6654	H6718	צ־י־ד
H6654	H6719	צ־י־ד
H6655	H6718	צ־י־ד
H6655	H6719	צ־י־ד
H6662	H6663	צ־ד־ק
H6662	H6664	צ־ד־ק
H6662	H6665	צ־ד־ק
H6662	H6666	צ־ד־ק
H6663	H6664	צ־ד־ק
H6663	H6665	צ־ד־ק
H6663	H6666	צ־ד־ק
H6664	H6665	צ־ד־ק
H6664	H6666	צ־ד־ק
H6665	H6666	צ־ד־ק
H6671	H6672	צ־ה־ר
H6684	H6685	צ־ו־ם
H6684	H6777	צ־ו־ם
H6685	H6777	צ־ו־ם
H6687	H6688	צ־ו־ף
H6687	H6689	צ־ו־ף
H6688	H6689	צ־ו־ף
H6693	H6694	צ־ו־ק
H6693	H6695	צ־ו־ק
H6694	H6695	צ־ו־ק
H6703	H6706	צ־ח־ח
H6711	H6712	צ־ח־ק
H6718	H6719	צ־י־ד
H6724	H6725	צ־י־ן
H6724	H6726	צ־י־ן
H6725	H6726	צ־י־ן
H6738	H6749	צ־ל־ל
H6738	H6750	צ־ל־ל
H6738	H6751	צ־ל־ל
H6743	H6744	צ־ל־ח
H6749	H6750	צ־ל־ל
H6749	H6751	צ־ל־ל
H6750	H6751	צ־ל־ל
H6770	H6771	צ־מ־א
H6770	H6772	צ־מ־א
H6771	H6772	צ־מ־א
H6775	H6776	צ־מ־ד
H6775	H6781	צ־מ־ד
H6776	H6781	צ־מ־ד
H6779	H6780	צ־מ־ח
H6805	H6806	צ־ע־ד
H6810	H6811	צ־ע־ר
H6810	H6812	צ־ע־ר
H6811	H6812	צ־ע־ר
H6813	H6814	צ־ע־ן
H6830	H6831	צ־פ־ן
H6880	H6881	צ־ר־ע
H6880	H6883	צ־ר־ע
H6881	H6883	צ־ר־ע
H6906	H6959	ק־ב־ע
H6912	H6913	ק־ב־ר
H6919	H6920	ק־ד־ח
H6950	H6951	ק־ה־ל
H6963	H7031	ק־ו־ל
H6963	H7031	ק־ל־ל
H6963	H7032	ק־ו־ל
H6963	H7032	ק־ל־ל
H6963	H7039	ק־ל־ל
H6963	H7040	ק־ל־ל
H6963	H7045	ק־ל־ל
H6979	H6980	ק־ו־ר
H6979	H6980	ק־ר־ר
H6979	H7119	ק־ר־ר
H6979	H7120	ק־ר־ר
H6979	H7135	ק־ר־ר
H6979	H7136	ק־ר־ר
H6979	H7137	ק־ר־ר
H6980	H7119	ק־ר־ר
H6980	H7120	ק־ר־ר
H6980	H7135	ק־ר־ר
H6980	H7136	ק־ר־ר
H6980	H7137	ק־ר־ר
H6981	H7148	ק־ר־א
H6981	H7150	ק־ר־א
H7018	H7064	ק־נ־ן
H7031	H7032	ק־ו־ל
H7031	H7032	ק־ל־ל
H7031	H7039	ק־ל־ל
H7031	H7040	ק־ל־ל
H7031	H7045	ק־ל־ל
H7032	H7039	ק־ל־ל
H7032	H7040	ק־ל־ל
H7032	H7045	ק־ל־ל
H7033	H7034	ק־ל־ה
H7039	H7040	ק־ל־ל
H7039	H7045	ק־ל־ל
H7040	H7045	ק־ל־ל
H7046	H7047	ק־ל־ס
H7049	H7050	ק־ל־ע
H7049	H7051	ק־ל־ע
H7050	H7051	ק־ל־ע
H7061	H7062	ק־מ־ץ
H7065	H7067	ק־נ־א
H7065	H7068	ק־נ־א
H7067	H7068	ק־נ־א
H7080	H7081	ק־ס־ם
H7094	H7095	ק־צ־ב
H7096	H7097	ק־צ־ה
H7096	H7098	ק־צ־ה
H7096	H7101	ק־צ־ה
H7097	H7098	ק־צ־ה
H7097	H7101	ק־צ־ה
H7098	H7101	ק־צ־ה
H7105	H7114	ק־צ־ר
H7105	H7115	ק־צ־ר
H7105	H7116	ק־צ־ר
H7114	H7115	ק־צ־ר
H7114	H7116	ק־צ־ר
H7115	H7116	ק־צ־ר
H7119	H7120	ק־ר־ר
H7119	H7135	ק־ר־ר
H7119	H7136	ק־ר־ר
H7119	H7137	ק־ר־ר
H7120	H7135	ק־ר־ר
H7120	H7136	ק־ר־ר
H7120	H7137	ק־ר־ר
H7135	H7136	ק־ר־ה
H7135	H7136	ק־ר־ר
H7135	H7137	ק־ר־ה
H7135	H7137	ק־ר־ר
H7136	H7137	ק־ר־ה
H7136	H7137	ק־ר־ר
H7148	H7150	ק־ר־א
H7160	H7161	ק־ר־ן
H7160	H7162	ק־ר־ן
H7161	H7162	ק־ר־ן
H7169	H7170	ק־ר־ץ
H7169	H7171	ק־ר־ץ
H7170	H7171	ק־ר־ץ
H7172	H7173	ק־ר־ק־ע
H7181	H7182	ק־שׁ־ב
H7181	H7183	ק־שׁ־ב
H7182	H7183	ק־שׁ־ב
H7185	H7186	ק־שׁ־ה
H7194	H7195	ק־שׁ־ר
H7223	H7225	ר־א־שׁ
H7227	H7231	ר־ב־ב
H7227	H7232	ר־ב־ב
H7227	H7379	ר־ב־ב
H7231	H7232	ר־ב־ב
H7231	H7379	ר־ב־ב
H7232	H7379	ר־ב־ב
H7235	H8635	ר־ב־ה
H7257	H7258	ר־ב־ץ
H7270	H7271	ר־ג־ל
H7270	H7272	ר־ג־ל
H7271	H7272	ר־ג־ל
H7280	H7281	ר־ג־ע
H7280	H7282	ר־ג־ע
H7281	H7282	ר־ג־ע
H7283	H7284	ר־ג־שׁ
H7283	H7285	ר־ג־שׁ
H7284	H7285	ר־ג־שׁ
H7286	H7287	ר־ד־ה
H7318	H7410	ר־ו־ם
H7318	H8641	ר־ו־ם
H7324	H7385	ר־ו־ק
H7324	H7386	ר־ו־ק
H7325	H7388	ר־ו־ר
H7329	H7330	ר־ז־ה
H7348	H7349	ר־ח־ם
H7353	H7354	ר־ח־ל
H7364	H7365	ר־ח־ץ
H7364	H7366	ר־ח־ץ
H7364	H7367	ר־ח־ץ
H7365	H7366	ר־ח־ץ
H7365	H7367	ר־ח־ץ
H7366	H7367	ר־ח־ץ
H7378	H7379	ר־י־ב
H7381	H7382	ר־י־ח
H7385	H7386	ר־ו־ק
H7390	H7391	ר־כ־ך
H7390	H7401	ר־כ־ך
H7391	H7401	ר־כ־ך
H7405	H7406	ר־כ־ס
H7405	H7407	ר־כ־ס
H7406	H7407	ר־כ־ס
H7408	H7409	ר־כ־שׁ
H7410	H8641	ר־ו־ם
H7430	H7431	ר־מ־שׂ
H7456	H7457	ר־ע־ב
H7456	H7458	ר־ע־ב
H7457	H7458	ר־ע־ב
H7460	H7461	ר־ע־ד
H7475	H7476	ר־ע־ה
H7481	H7482	ר־ע־ם
H7481	H7483	ר־ע־ם
H7481	H7484	ר־ע־ם
H7482	H7483	ר־ע־ם
H7482	H7484	ר־ע־ם
H7483	H7484	ר־ע־ם
H7493	H7494	ר־ע־שׁ
H7495	H7496	ר־פ־א
H7495	H7497	ר־פ־א
H7495	H7498	ר־פ־א
H7495	H7499	ר־פ־א
H7495	H8644	ר־פ־א
H7496	H7497	ר־פ־א
H7496	H7498	ר־פ־א
H7496	H7499	ר־פ־א
H7496	H8644	ר־פ־א
H7497	H7498	ר־פ־א
H7497	H7499	ר־פ־א
H7497	H8644	ר־פ־א
H7498	H7499	ר־פ־א
H7498	H8644	ר־פ־א
H7499	H8644	ר־פ־א
H7523	H7524	ר־צ־ח
H7528	H7529	ר־צ־ף
H7528	H7530	ר־צ־ף
H7528	H7531	ר־צ־ף
H7528	H7532	ר־צ־ף
H7529	H7530	ר־צ־ף
H7529	H7531	ר־צ־ף
H7529	H7532	ר־צ־ף
H7530	H7531	ר־צ־ף
H7530	H7532	ר־צ־ף
H7531	H7532	ר־צ־ף
H7549	H7554	ר־ק־ע
H7549	H7555	ר־ק־ע
H7554	H7555	ר־ק־ע
H7561	H7562	ר־שׁ־ע
H7561	H7563	ר־שׁ־ע
H7562	H7563	ר־שׁ־ע
H7565	H7566	ר־שׁ־ף
H7570	H7571	ר־ת־ח
H7573	H7574	ר־ת־ם
H7585	H7586	שׁ־א־ל
H7585	H7592	שׁ־א־ל
H7585	H7593	שׁ־א־ל
H7585	H7594	שׁ־א־ל
H7586	H7592	שׁ־א־ל
H7586	H7593	שׁ־א־ל
H7586	H7594	שׁ־א־ל
H7592	H7593	שׁ־א־ל
H7592	H7594	שׁ־א־ל
H7593	H7594	שׁ־א־ל
H7612	H7613	נ־שׂ־א
H7612	H7863	נ־שׂ־א
H7613	H7863	נ־שׂ־א
H7617	H7628	י־שׁ־ב
H7617	H7628	שׁ־ב־ה
H7617	H7628	שׁ־ו־ב
H7617	H7629	י־שׁ־ב
H7617	H7629	שׁ־ב־ה
H7617	H7629	שׁ־ו־ב
H7617	H7630	י־שׁ־ב
H7617	H7630	שׁ־ב־ה
H7617	H7630	שׁ־ו־ב
H7617	H7725	שׁ־ו־ב
H7617	H7868	י־שׁ־ב
H7617	H7868	שׁ־ו־ב
H7617	H7870	שׁ־ו־ב
H7617	H7871	שׁ־ו־ב
H7617	H7872	שׁ־ו־ב
H7617	H8453	י־שׁ־ב
H7617	H8666	שׁ־ו־ב
H7620	H7621	שׁ־ב־ע
H7620	H7653	שׁ־ב־ע
H7620	H7654	שׁ־ב־ע
H7620	H7656	שׁ־ב־ע
H7621	H7653	שׁ־ב־ע
H7621	H7654	שׁ־ב־ע
H7621	H7656	שׁ־ב־ע
H7623	H7624	שׁ־ב־ח
H7625	H7626	שׁ־ב־ט
H7625	H7627	שׁ־ב־ט
H7626	H7627	שׁ־ב־ט
H7628	H7629	י־שׁ־ב
H7628	H7629	שׁ־ב־ה
H7628	H7629	שׁ־ו־ב
H7628	H7630	י־שׁ־ב
H7628	H7630	שׁ־ב־ה
H7628	H7630	שׁ־ו־ב
H7628	H7725	שׁ־ו־ב
H7628	H7868	י־שׁ־ב
H7628	H7868	שׁ־ו־ב
H7628	H7870	שׁ־ו־ב
H7628	H7871	שׁ־ו־ב
H7628	H7872	שׁ־ו־ב
H7628	H8453	י־שׁ־ב
H7628	H8666	שׁ־ו־ב
H7629	H7630	י־שׁ־ב
H7629	H7630	שׁ־ב־ה
H7629	H7630	שׁ־ו־ב
H7629	H7725	שׁ־ו־ב
H7629	H7868	י־שׁ־ב
H7629	H7868	שׁ־ו־ב
H7629	H7870	שׁ־ו־ב
H7629	H7871	שׁ־ו־ב
H7629	H7872	שׁ־ו־ב
H7629	H8453	י־שׁ־ב
H7629	H8666	שׁ־ו־ב
H7630	H7725	שׁ־ו־ב
H7630	H7868	י־שׁ־ב
H7630	H7868	שׁ־ו־ב
H7630	H7870	שׁ־ו־ב
H7630	H7871	שׁ־ו־ב
H7630	H7872	שׁ־ו־ב
H7630	H8453	י־שׁ־ב
H7630	H8666	שׁ־ו־ב
H7642	H7732	שׁ־ב־ל
H7653	H7654	שׁ־ב־ע
H7653	H7656	שׁ־ב־ע
H7654	H7656	שׁ־ב־ע
H7660	H7661	שׁ־ב־ץ
H7660	H8665	שׁ־ב־ץ
H7661	H8665	שׁ־ב־ץ
H7665	H7671	שׁ־ב־ר
H7694	H7695	שׁ־ג־ל
H7699	H7700	שׁ־ד
H7699	H7700	שׁ־ו־ד
H7699	H7701	שׁ־ד
H7699	H7701	שׁ־ו־ד
H7700	H7701	שׁ־ד
H7700	H7701	שׁ־ו־ד
H7704	H7705	שׁ־ד־ד
H7704	H7705	שׂ־ד־ה
H7712	H7713	שׁ־ד־ר
H7725	H7868	שׁ־ו־ב
H7725	H7870	שׁ־ו־ב
H7725	H7871	שׁ־ו־ב
H7725	H7872	שׁ־ו־ב
H7725	H8666	שׁ־ו־ב
H7730	H7731	שׁ־ב־ך
H7745	H7746	שׁ־ו־ח
H7763	H8107	שׁ־מ־ר
H7764	H7765	שׁ־נ־ה
H7776	H7777	שׁ־ע־ל
H7783	H7784	שׁ־ו־ק
H7783	H7785	שׁ־ו־ק
H7783	H8669	שׁ־ו־ק
H7784	H7785	שׁ־ו־ק
H7784	H8669	שׁ־ו־ק
H7785	H8669	שׁ־ו־ק
H7791	H7795	שׁ־ו־ר
H7799	H7800	שׁ־שׁ־ן
H7811	H7812	שׂ־ח־ה
H7815	H7840	שׁ־ח־ר
H7832	H7833	שׂ־ח־ק
H7832	H7834	שׂ־ח־ק
H7833	H7834	שׂ־ח־ק
H7857	H7858	שׁ־ט־ף
H7868	H7870	שׁ־ו־ב
H7868	H7871	שׁ־ו־ב
H7868	H7872	שׁ־ו־ב
H7868	H8453	י־שׁ־ב
H7868	H8666	שׁ־ו־ב
H7870	H7871	שׁ־ו־ב
H7870	H7871	שׂ־י־ב
H7870	H7872	שׁ־ו־ב
H7870	H7872	שׂ־י־ב
H7870	H8666	שׁ־ו־ב
H7871	H7872	שׁ־ו־ב
H7871	H7872	שׂ־י־ב
H7871	H8666	שׁ־ו־ב
H7872	H8666	שׁ־ו־ב
H7881	H7882	שׂ־י־ח
H7901	H7902	שׁ־כ־ב
H7911	H7912	שׁ־כ־ח
H7911	H7913	שׁ־כ־ח
H7912	H7913	שׁ־כ־ח
H7931	H7932	שׁ־כ־ן
H7931	H7934	שׁ־כ־ן
H7932	H7934	שׁ־כ־ן
H7947	H7948	שׁ־ל־ב
H7965	H7966	ש־ל־ם
H7965	H7967	ש־ל־ם
H7966	H7967	ש־ל־ם
H7983	H7989	שׁ־ל־ט
H7983	H7990	שׁ־ל־ט
H7989	H7990	שׁ־ל־ט
H7997	H7998	שׁ־ל־ל
H8025	H8026	שׁ־ל־ף
H8034	H8035	שׁ־ו־ם
H8034	H8035	שׂ־י־ם
H8034	H8036	שׁ־ו־ם
H8034	H8036	שׂ־י־ם
H8035	H8036	שׁ־ו־ם
H8035	H8036	שׂ־י־ם
H8047	H8048	שׁ־מ־ם
H8047	H8074	שׁ־מ־ם
H8047	H8077	שׁ־מ־ם
H8048	H8074	שׁ־מ־ם
H8048	H8077	שׁ־מ־ם
H8056	H8057	שׂ־מ־ח
H8071	H8072	שׂ־מ־ל
H8074	H8077	שׁ־מ־ם
H8074	H8580	נ־שׁ־ם
H8127	H8128	שׁ־נ־ן
H8127	H8129	שׁ־נ־ן
H8127	H8150	שׁ־נ־ן
H8128	H8129	שׁ־נ־ן
H8128	H8150	שׁ־נ־ן
H8129	H8150	שׁ־נ־ן
H8163	H8164	שׂ־ע־ר
H8163	H8165	שׂ־ע־ר
H8163	H8183	שׂ־ע־ר
H8163	H8184	שׂ־ע־ר
H8163	H8185	שׂ־ע־ר
H8164	H8165	שׂ־ע־ר
H8164	H8183	שׂ־ע־ר
H8164	H8184	שׂ־ע־ר
H8164	H8185	שׂ־ע־ר
H8165	H8183	שׂ־ע־ר
H8165	H8184	שׂ־ע־ר
H8165	H8185	שׂ־ע־ר
H8183	H8184	שׂ־ע־ר
H8183	H8185	שׂ־ע־ר
H8184	H8185	שׂ־ע־ר
H8192	H8193	שׂ־פ־ה
H8210	H8211	שׁ־פ־ך
H8226	H8227	שׁ־פ־ן
H8244	H8245	שׁ־ק־ד
H8244	H8247	שׁ־ק־ד
H8245	H8247	שׁ־ק־ד
H8252	H8253	שׁ־ק־ט
H8254	H8255	שׁ־ק־ל
H8259	H8260	שׁ־ק־ף
H8265	H8266	שׁ־ק־ר
H8265	H8267	שׁ־ק־ר
H8266	H8267	שׁ־ק־ר
H8269	H8270	שׁ־י־ר
H8269	H8270	שׂ־ר־ר
H8269	H8285	שׁ־י־ר
H8269	H8285	שׂ־ר־ר
H8270	H8285	שׁ־י־ר
H8270	H8285	שׂ־ר־ר
H8277	H8278	שׂ־ר־ד
H8277	H8279	שׂ־ר־ד
H8277	H8300	שׂ־ר־ד
H8277	H8301	שׂ־ר־ד
H8278	H8279	שׂ־ר־ד
H8278	H8300	שׂ־ר־ד
H8278	H8301	שׂ־ר־ד
H8279	H8300	שׂ־ר־ד
H8279	H8301	שׂ־ר־ד
H8300	H8301	שׂ־ר־ד
H8313	H8314	שׂ־ר־ף
H8313	H8315	שׂ־ר־ף
H8313	H8316	שׂ־ר־ף
H8314	H8315	שׂ־ר־ף
H8314	H8316	שׂ־ר־ף
H8315	H8316	שׂ־ר־ף
H8317	H8318	שׁ־ר־ץ
H8334	H8335	שׁ־ר־ת
H8336	H8342	שׂ־י־שׂ
H8351	H8352	שׁ־י־ת
H8351	H8357	שׁ־י־ת
H8352	H8357	שׁ־י־ת
H8354	H8355	שׁ־ת־ה
H8362	H8363	שׁ־ת־ל
H8384	H8385	ת־א־ן
H8397	H8398	י־ב־ל
H8397	H8398	ת־ב־ל
H8397	H8422	י־ב־ל
H8397	H8422	ת־ב־ל
H8398	H8422	י־ב־ל
H8398	H8422	ת־ב־ל
H8416	H8417	ה־ל־ל
H8442	H8582	ת־ע־ה
H8467	H8468	ח־נ־ה
H8476	H8477	ת־ח־שׁ
H8480	H8481	ת־ח־ת
H8486	H8487	י־מ־ן
H8498	H8508	ת־כ־ן
H8510	H8524	ת־ל־ל
H8538	H8539	ת־מ־הּ
H8538	H8540	ת־מ־הּ
H8538	H8541	ת־מ־הּ
H8539	H8540	ת־מ־הּ
H8539	H8541	ת־מ־הּ
H8540	H8541	ת־מ־הּ
H8549	H8550	ת־מ־ם
H8565	H8577	ת־נ־ן
H8598	H8599	נ־פ־ח
H8598	H8599	ת־פ־ח
H8602	H8603	ת־פ־ל
H8628	H8629	ת־ק־ע
